2585995;Radzymińska - Łomżyńska
2585994;Radzymińska - Wiosenna
2585992;Fabryka Wędek Koneser
2585990;Targowa - Ząbkowska
2585987;Sierakowskiego - Kłopotowskiego
2586000;Dworzec Wschodni - Kijowska
44583449;Rondo Zesłańców Syberyjskich
2585787;Wołoska - Kulskiego
2585782;Sanocka - Pruszkowska
2585356;al. Jana Pawła II - Nowolipki
2585354;Smocza - Nowolipki
2585353;Wolność - Bellottiego
2585352;Dzielna - Bellottiego
2585351;Leszno - Młynarska
2585349;Dworzec Wschodni - Lubelska
2585346;Okocimska - Olbrachta
2585345;Powstańców Śląskich - Pełczyńskiego
2585344;Bora-Komorowskiego - Fieldorfa 'Nila'
2585342;Kościelna - Piesza
2585341;Plac Krasińskich
2585340;Bonifraterska - Franciszkańska
2585338;Anielewicza - Andersa
2585337;Anielewicza - Zamenhofa
2585335;al. Jana Pawła II - Anielewicza
2585358;Powstańców Śląskich - Człuchowska
2585360;Jana Olbrachta - Antka Rozpylacza
2585364;Wola-Ratusz
2585367;al. Jana Pawła II - al. Solidarności
2585396;Muzeum Powstania Warszawskiego
2585394;Kasprzaka - Karolkowa
2585391;Kasprzaka - Skierniewicka
2585389;Wolska - Płocka
2585387;al. Prymasa Tysiąclecia - Górczewska
2585385;Wolska - Elekcyjna
2585381;Jana Kazimierza - Gizów
2585334;Smocza - Anielewicza
2585380;Powstańców Śląskich - Połczyńska
2585378;Krakowskie Przedmieście - Trąbacka
2585377;Miodowa
2585373;Senatorska - Bielańska
2585371;Plac Bankowy - Ratusz
2585370;Marszałkowska - al. Solidarności
2585369;Andersa - Długa
2585368;Plac Bankowy - Kino Muranów
2585379;Mariensztat
2585398;Metro Rondo Daszyńskiego
2585333;Smocza - Miła
2585328;Wrocławska - Bailly
2585288;Broniewskiego - Krasińskiego
2585286;Broniewskiego - Włościańska
2585285;Metro Plac Wilsona
2585284;Metro Marymont
2585283;Broniewskiego - Perzyńskiego
2585281;al. Reymonta - Conrada
2585280;Gwiaździsta - Promyka
2585278;Potocka - OSiR Żoliborz
2585275;Metro Słodowiec
2585273;Bielany-Ratusz
2585271;Metro Stare Bielany
2585269;Górskiego - Szpitalna
2585267;Metro Wawrzyszew
2585265;Marymoncka - Dewajtis
2585263;Metro Młociny
2585289;Wybrzeże Gdyńskie - KS Spójnia
2585291;Plac Grunwaldzki
2585296;Zajączka - Bitwy Pod Rokitną
2585297;Plac Inwalidów
2585327;Sanguszki - Wybrzeże Gdańskie
2585326;Andersa - Muranowska
2585323;Stawki - Dubois
2585321;al. Jana Pawła II - Stawki
2585319;Obozowa - Radziwie
2585317;al. Prymasa Tysiąclecia - Kasprzaka
2585315;Obozowa - Ciołka
2585330;Okopowa - Anielewicza
2585313;Powstańców Śląskich - Radiowa
2585308;Powązkowska - Burakowska
2585307;Przasnyska - Rydygiera
2585306;Powązkowska - Plac Niemena
2585305;Powązkowska - Krasińskiego
2585304;Obrońców Tobruku - Pieniążka
2585301;Pętla Nowe Bemowo
2585299;Pętla Stare Bemowo
2585311;Metro Dworzec Gdański
2585400;Prosta - Wronia
2585401;Żelazna - Chłodna
2585402;Żelazna - Grzybowska
2585728;Rondo Jazdy Polskiej
2585727;Poznańska - Zespół Szkół Gastronomicznych
2585724;Plac Politechniki
2585722;Noakowskiego - Koszykowa
2585721;al. Armii Ludowej - al. Niepodległości
2585720;al. Niepodległości- Nowowiejska
2585717;Raszyńska - Filtrowa
2585716;Raszyńska - Wawelska
2585714;Plac Narutowicza
2585712;Kopińska - Białobrzeska
2585711;Szczęśliwicka - APS
2585708;Książęca - Rozbrat
2585704;Solec - al. 3 Maja
2585699;Kruczkowskiego - PKP Powiśle
2585695;Smolna - PKP Powiśle
2585729;Smolna - PKP Powiśle
2585731;Plac Zbawiciela
2585735;Plac Konstytucji
2585737;Mokotowska - Piękna
2585781;Grójecka - PKP Rakowiec
2585779;Plac Unii Lubelskiej
2585776;al. Niepodległości- Batorego
2585774;Rakowiecka - Św. A. Boboli
2585772;Żwirki i Wigury - Księcia Trojdena
2585771;Dickensa - Geodetów
2585770;Pętla Szczęśliwice
